Subject	shword	Resp	RT	step	sword	TrialCount	wavfile	which	Sresp	StepNum
207	currenshy	1	2303	step11	currency	1	Continuua/currency_currenshy/stimulus011.wav	one	5	11
207	shin	1	991	step8	sin	2	Continuua/sin_shin/stimulus008.wav	both	5	8
207	conshert	1	747	step10	concert	3	Continuua/concert_conshert/stimulus010.wav	one	5	10
207	shafari	5	1375	step1	safari	4	Continuua/safari_shafari/stimulus001.wav	one	5	1
207	penshil	1	796	step8	pencil	5	Continuua/pencil_penshil/stimulus008.wav	one	5	8
207	dinoshaur	1	977	step11	dinosaur	6	Continuua/dinosaur_dinoshaur/stimulus011.wav	one	5	11
207	monshoon	5	731	step3	monsoon	7	Continuua/monsoon_monshoon/stimulus003.wav	one	5	3
207	shettlement	1	777	step11	settlement	8	Continuua/settlement_shettlement/stimulus011.wav	one	5	11
207	dinoshaur	5	836	step5	dinosaur	9	Continuua/dinosaur_dinoshaur/stimulus005.wav	one	5	5
207	monshoon	5	751	step5	monsoon	10	Continuua/monsoon_monshoon/stimulus005.wav	one	5	5
207	takshi	5	1396	step6	taxi	11	Continuua/taxi_takshi/stimulus006.wav	one	5	6
207	shurfboard	1	1147	step11	surfboard	12	Continuua/surfboard_shurfboard/stimulus011.wav	one	5	11
207	shelery	1	1046	step8	celery	13	Continuua/celery_shelery/stimulus008.wav	one	5	8
207	shunroof	5	914	step5	sunroof	14	Continuua/sunroof_shunroof/stimulus005.wav	one	5	5
207	sheiling	5	2017	step7	ceiling	15	Continuua/ceiling_sheiling/stimulus007.wav	one	5	7
207	shyrup	5	842	step1	syrup	16	Continuua/syrup_shyrup/stimulus001.wav	one	5	1
207	caroushel	5	1228	step7	carousel	17	Continuua/carousel_caroushel/stimulus007.wav	one	5	7
207	sheiling	5	853	step4	ceiling	18	Continuua/ceiling_sheiling/stimulus004.wav	one	5	4
207	galakshy	5	825	step1	galaxy	19	Continuua/galaxy_galakshy/stimulus001.wav	one	5	1
207	faushet	1	850	step10	faucet	20	Continuua/faucet_faushet/stimulus010.wav	one	5	10
207	sheminar	5	649	step2	seminar	21	Continuua/seminar_sheminar/stimulus002.wav	one	5	2
207	shafari	1	828	step10	safari	22	Continuua/safari_shafari/stimulus010.wav	one	5	10
207	shubmarine	1	840	step10	submarine	23	Continuua/submarine_shubmarine/stimulus010.wav	one	5	10
207	shyrup	5	698	step3	syrup	24	Continuua/syrup_shyrup/stimulus003.wav	one	5	3
207	monshoon	5	669	step2	monsoon	25	Continuua/monsoon_monshoon/stimulus002.wav	one	5	2
207	medishine	1	853	step9	medicine	26	Continuua/medicine_medishine/stimulus009.wav	one	5	9
207	shelery	1	788	step10	celery	27	Continuua/celery_shelery/stimulus010.wav	one	5	10
207	dansher	1	723	step11	dancer	28	Continuua/dancer_dansher/stimulus011.wav	one	5	11
207	shy	5	831	step1	sigh	29	Continuua/sigh_shy/stimulus001.wav	both	5	1
207	faushet	5	992	step6	faucet	30	Continuua/faucet_faushet/stimulus006.wav	one	5	6
207	shaddle	5	662	step4	saddle	31	Continuua/saddle_shaddle/stimulus004.wav	one	5	4
207	takshi	1	783	step11	taxi	32	Continuua/taxi_takshi/stimulus011.wav	one	5	11
207	medishine	5	883	step3	medicine	33	Continuua/medicine_medishine/stimulus003.wav	one	5	3
207	sheremony	5	1949	step8	ceremony	34	Continuua/ceremony_sheremony/stimulus008.wav	one	5	8
207	dansher	1	781	step10	dancer	35	Continuua/dancer_dansher/stimulus010.wav	one	5	10
207	caroushel	5	739	step4	carousel	36	Continuua/carousel_caroushel/stimulus004.wav	one	5	4
207	ashi	5	1227	step5	asi	37	Continuua/asi_ashi/stimulus005.wav	both	5	5
207	shector	5	785	step5	sector	38	Continuua/sector_shector/stimulus005.wav	one	5	5
207	shelery	1	723	step9	celery	39	Continuua/celery_shelery/stimulus009.wav	one	5	9
207	takshi	1	1683	step10	taxi	40	Continuua/taxi_takshi/stimulus010.wav	one	5	10
207	currenshy	1	929	step8	currency	41	Continuua/currency_currenshy/stimulus008.wav	one	5	8
207	takshi	5	608	step3	taxi	42	Continuua/taxi_takshi/stimulus003.wav	one	5	3
207	mishile	5	908	step4	missile	43	Continuua/missile_mishile/stimulus004.wav	one	5	4
207	shatellite	5	581	step1	satellite	44	Continuua/satellite_shatellite/stimulus001.wav	one	5	1
207	shin	1	884	step6	sin	45	Continuua/sin_shin/stimulus006.wav	both	5	6
207	shatellite	5	838	step5	satellite	46	Continuua/satellite_shatellite/stimulus005.wav	one	5	5
207	shubmarine	1	712	step9	submarine	47	Continuua/submarine_shubmarine/stimulus009.wav	one	5	9
207	shafari	1	785	step11	safari	48	Continuua/safari_shafari/stimulus011.wav	one	5	11
207	ashi	5	638	step2	asi	49	Continuua/asi_ashi/stimulus002.wav	both	5	2
207	foshil	5	2018	step8	fossil	50	Continuua/fossil_foshil/stimulus008.wav	one	5	8
207	shack	5	889	step4	sack	51	Continuua/sack_shack/stimulus004.wav	both	5	4
207	sheiling	5	848	step5	ceiling	52	Continuua/ceiling_sheiling/stimulus005.wav	one	5	5
207	shofa	5	700	step1	sofa	53	Continuua/sofa_shofa/stimulus001.wav	one	5	1
207	shyrup	1	1202	step7	syrup	54	Continuua/syrup_shyrup/stimulus007.wav	one	5	7
207	shettlement	1	1541	step8	settlement	55	Continuua/settlement_shettlement/stimulus008.wav	one	5	8
207	conshert	5	1178	step6	concert	56	Continuua/concert_conshert/stimulus006.wav	one	5	6
207	monshoon	5	788	step1	monsoon	57	Continuua/monsoon_monshoon/stimulus001.wav	one	5	1
207	shocket	5	735	step5	socket	58	Continuua/socket_shocket/stimulus005.wav	one	5	5
207	currenshy	5	797	step1	currency	59	Continuua/currency_currenshy/stimulus001.wav	one	5	1
207	shocket	1	1091	step11	socket	60	Continuua/socket_shocket/stimulus011.wav	one	5	11
207	tashel	5	1244	step4	tassel	61	Continuua/tassel_tashel/stimulus004.wav	one	5	4
207	croishant	5	982	step3	croissant	62	Continuua/croissant_croishant/stimulus003.wav	one	5	3
