Word	shwordP	shwordPRound	lexdecP	lexdecPRound
carousel	7.43342419776695	7	6.47111339836339	6
castle	6.83625631840775	7	6.55775743160453	7
ceiling	6.83625631840775	7	6.75071691978727	7
celery	6.55748535064898	7	6.55775743172022	7
cement	6.83625631840775	7	7.43898538428211	7
ceremony	7.08638601097257	7	6.96809391159382	7
concert	7.43342419776695	7	6.90487111589084	7
croissant	6.65937377163553	7	6.90487111589084	7
currency	6.47711193072963	6	7.03226369686802	7
cursor	7.38902014221547	7	7.45680153454204	7
curtsy	7.51130396553296	8	6.78112147193747	7
dancer	6.65937377163553	7	6.84255974433175	7
dinosaur	7.25628342408754	7	7.13036656317023	7
faucet	6.65937377163553	7	6.78112147193747	7
fossil	7.76779032997066	8	6.87360382724168	7
galaxy	7.65317129142798	8	7.28189062683647	7
medicine	7.76779032997066	8	7.1802787142684	7
missile	7.76779032997066	8	7.96844790730608	8
monsoon	6.50327543018713	7	6.34346074221552	6
pencil	6.47711193072963	6	7.00005830130657	7
pharmacy	7.04620376415085	7	7.24775052803749	7
saddle	7.05607329328396	7	7.31630562488857	7
safari	6.65937377163553	7	6.57233470314527	7
sailboat	7.30022706262119	7	7.19704686927182	7
satellite	7.12710973326946	7	6.4711133980242	6
sector	6.08788825595075	6	5.95727413071348	6
seminar	6.83625631840775	7	6.38573596715736	6
settlement	6.47711193072963	6	5.99823630514688	6
sidewalk	6.45181603494128	6	6.44252314699453	6
silver	6.45181603494128	6	6.45680112357237	6
socket	6.65937377163553	7	5.95727413060854	6
sofa	6.83625631840775	7	6.66069505501328	7
submarine	7.6075205581187	8	7.73336874091665	8
sunroof	6.45181603494128	6	6.51426501270481	7
surfboard	7.08638601097257	7	6.88920927337336	7
syrup	6.45181603494128	6	5.58758490313287	6
tassel	6.65937377163553	7	6.24571733816218	6
taxi	7.81750215550632	8	6.96809391172528	7
whistle	7.08638601097257	7	7.1802787142684	7
