Word	Lexicality	itemtype
saddle	Word	S-Initial
safari	Word	S-Initial
seedling	Word	S-Initial
sunroof	Word	S-Initial
submarine	Word	S-Initial
syrup	Word	S-Initial
satellite	Word	S-Initial
sailboat	Word	S-Initial
celery	Word	S-Initial
sector	Word	S-Initial
cement	Word	S-Initial
surfboard	Word	S-Initial
socket	Word	S-Initial
ceremony	Word	S-Initial
seminar	Word	S-Initial
sidewalk	Word	S-Initial
settlement	Word	S-Initial
ceiling	Word	S-Initial
silver	Word	S-Initial
sofa	Word	S-Initial
eruption	Word	SH-Final
patient	Word	SH-Final
brochure	Word	SH-Final
auction	Word	SH-Final
tissue	Word	SH-Final
cushion	Word	SH-Final
cashier	Word	SH-Final
hibernation	Word	SH-Final
parachute	Word	SH-Final
usher	Word	SH-Final
shampoo	Word	SH-Initial
shadow	Word	SH-Initial
sugar	Word	SH-Initial
shiny	Word	SH-Initial
chandelier	Word	SH-Initial
shovel	Word	SH-Initial
shoplifter	Word	SH-Initial
shelter	Word	SH-Initial
shareholder	Word	SH-Initial
shoulder	Word	SH-Initial
dryer	Word	Filler
balloon	Word	Filler
antenna	Word	Filler
tortilla	Word	Filler
microwave	Word	Filler
weatherman	Word	Filler
graffiti	Word	Filler
elephant	Word	Filler
fingerprint	Word	Filler
cockpit	Word	Filler
theatre	Word	Filler
bamboo	Word	Filler
cabin	Word	Filler
tunnel	Word	Filler
buckle	Word	Filler
doorbell	Word	Filler
napkin	Word	Filler
calendar	Word	Filler
cradle	Word	Filler
tractor	Word	Filler
ladle	Word	Filler
collar	Word	Filler
garlic	Word	Filler
cowboy	Word	Filler
ponytail	Word	Filler
acorn	Word	Filler
tadpole	Word	Filler
butterfly	Word	Filler
camel	Word	Filler
piano	Word	Filler
diamond	Word	Filler
umbrella	Word	Filler
librarian	Word	Filler
cutlery	Word	Filler
referee	Word	Filler
helicopter	Word	Filler
lightning	Word	Filler
painter	Word	Filler
campfire	Word	Filler
mannequin	Word	Filler
movie	Word	Filler
traffic	Word	Filler
candy	Word	Filler
table	Word	Filler
goalie	Word	Filler
ladder	Word	Filler
popcorn	Word	Filler
mural	Word	Filler
apple	Word	Filler
tire	Word	Filler
lumber	Word	Filler
omelet	Word	Filler
meadow	Word	Filler
motel	Word	Filler
feather	Word	Filler
gondola	Word	Filler
acrobat	Word	Filler
darkroom	Word	Filler
teapot	Word	Filler
minivan	Word	Filler
apolm	Nonword	Filler
arafimp	Nonword	Filler
arnuff	Nonword	Filler
balrop	Nonword	Filler
bambany	Nonword	Filler
bawapeet	Nonword	Filler
bettle	Nonword	Filler
bimobel	Nonword	Filler
bipar	Nonword	Filler
blial	Nonword	Filler
brahata	Nonword	Filler
danoor	Nonword	Filler
darnat	Nonword	Filler
deoma	Nonword	Filler
follipocktel	Nonword	Filler
foter	Nonword	Filler
gallmit	Nonword	Filler
gamtee	Nonword	Filler
ganla	Nonword	Filler
gippelfraw	Nonword	Filler
giptern	Nonword	Filler
gittle	Nonword	Filler
glaple	Nonword	Filler
golthin	Nonword	Filler
goming	Nonword	Filler
gompy	Nonword	Filler
gorder	Nonword	Filler
hagrant	Nonword	Filler
hammertrent	Nonword	Filler
hintarber	Nonword	Filler
hovear	Nonword	Filler
iddle	Nonword	Filler
iglopad	Nonword	Filler
igoldion	Nonword	Filler
impomo	Nonword	Filler
inoret	Nonword	Filler
kire	Nonword	Filler
kempel	Nonword	Filler
kimmer	Nonword	Filler
klogodar	Nonword	Filler
kowack	Nonword	Filler
lefeloo	Nonword	Filler
lindel	Nonword	Filler
mogmet	Nonword	Filler
mopial	Nonword	Filler
motpem	Nonword	Filler
namittle	Nonword	Filler
nartomy	Nonword	Filler
nepow	Nonword	Filler
neproyave	Nonword	Filler
nidol	Nonword	Filler
noler	Nonword	Filler
nometin	Nonword	Filler
nonifem	Nonword	Filler
omplero	Nonword	Filler
pammin	Nonword	Filler
peltlon	Nonword	Filler
pickpat	Nonword	Filler
pidbar	Nonword	Filler
pluepelai	Nonword	Filler
poara	Nonword	Filler
poltira	Nonword	Filler
pomto	Nonword	Filler
potha	Nonword	Filler
prickpor	Nonword	Filler
prithet	Nonword	Filler
radadub	Nonword	Filler
rigloriem	Nonword	Filler
rinbel	Nonword	Filler
rindner	Nonword	Filler
ripnem	Nonword	Filler
roggel	Nonword	Filler
roppet	Nonword	Filler
rudle	Nonword	Filler
talell	Nonword	Filler
talot	Nonword	Filler
tankfole	Nonword	Filler
tayade	Nonword	Filler
teerell	Nonword	Filler
tello	Nonword	Filler
tepple	Nonword	Filler
teygot	Nonword	Filler
theely	Nonword	Filler
theerheb	Nonword	Filler
thorkwift	Nonword	Filler
thragkole	Nonword	Filler
timmer	Nonword	Filler
tingora	Nonword	Filler
tinogail	Nonword	Filler
tirack	Nonword	Filler
tirrenper	Nonword	Filler
tovey	Nonword	Filler
toygaw	Nonword	Filler
tuckib	Nonword	Filler
tuddom	Nonword	Filler
tutrewy	Nonword	Filler
wapteep	Nonword	Filler
wekker	Nonword	Filler
wogim	Nonword	Filler
yovernon	Nonword	Filler
tassel	Word	S-Final
concert	Word	S-Final
medicine	Word	S-Final
dinosaur	Word	S-Final
carousel	Word	S-Final
dancer	Word	S-Final
galaxy	Word	S-Final
monsoon	Word	S-Final
whistle	Word	S-Final
pencil	Word	S-Final
castle	Word	S-Final
faucet	Word	S-Final
croissant	Word	S-Final
missile	Word	S-Final
taxi	Word	S-Final
fossil	Word	S-Final
currency	Word	S-Final
pharmacy	Word	S-Final
curtsy	Word	S-Final
cursor	Word	S-Final
